signal,peaks,instant_rr,time,Channel_0
103.0,0.0,1186.6666666666667,240.96,0.0
100.0,0.0,1186.6666666666667,240.97333333333333,0.0
98.0,0.0,1186.6666666666667,240.98666666666668,0.0
95.0,0.0,1186.6666666666667,241.0,0.0
93.0,0.0,1186.6666666666667,241.01333333333332,0.0
92.0,0.0,1186.6666666666667,241.02666666666667,0.0
91.0,0.0,1186.6666666666667,241.04,5.0
90.0,0.0,1186.6666666666667,241.05333333333334,0.0
89.0,0.0,1186.6666666666667,241.06666666666666,0.0
88.0,0.0,1186.6666666666667,241.08,0.0
87.0,0.0,1186.6666666666667,241.09333333333333,0.0
86.0,0.0,1186.6666666666667,241.10666666666665,0.0
85.0,0.0,1186.6666666666667,241.12,0.0
85.0,0.0,1186.6666666666667,241.13333333333333,0.0
84.0,0.0,1186.6666666666667,241.14666666666668,0.0
83.0,0.0,1186.6666666666667,241.16,0.0
82.0,0.0,1186.6666666666667,241.17333333333335,0.0
81.0,0.0,1186.6666666666667,241.18666666666667,0.0
80.0,0.0,1186.6666666666667,241.2,0.0
79.0,0.0,1186.6666666666667,241.21333333333334,0.0
78.0,0.0,1186.6666666666667,241.22666666666666,0.0
77.0,0.0,1186.6666666666667,241.24,0.0
77.0,0.0,1186.6666666666667,241.25333333333333,0.0
76.0,0.0,1186.6666666666667,241.26666666666668,0.0
75.0,0.0,1186.6666666666667,241.28,0.0
74.0,0.0,1186.6666666666667,241.29333333333332,0.0
73.0,0.0,1186.6666666666667,241.30666666666667,0.0
73.0,0.0,1186.6666666666667,241.32,0.0
72.0,0.0,1186.6666666666667,241.33333333333334,1.0
71.0,0.0,1186.6666666666667,241.34666666666666,0.0
71.0,0.0,1186.6666666666667,241.36,0.0
71.0,0.0,1186.6666666666667,241.37333333333333,0.0
70.0,0.0,1186.6666666666667,241.38666666666666,0.0
70.0,0.0,1186.6666666666667,241.4,0.0
70.0,0.0,1186.6666666666667,241.41333333333333,0.0
70.0,0.0,1186.6666666666667,241.42666666666668,0.0
70.0,0.0,1186.6666666666667,241.44,0.0
70.0,0.0,1186.6666666666667,241.45333333333335,0.0
70.0,0.0,1186.6666666666667,241.46666666666667,0.0
69.0,0.0,1186.6666666666667,241.48,0.0
69.0,0.0,1186.6666666666667,241.49333333333334,0.0
69.0,0.0,1186.6666666666667,241.50666666666666,0.0
69.0,0.0,1186.6666666666667,241.52,0.0
69.0,0.0,1186.6666666666667,241.53333333333333,0.0
69.0,0.0,1186.6666666666667,241.54666666666665,0.0
69.0,0.0,1186.6666666666667,241.56,0.0
68.0,0.0,1186.6666666666667,241.57333333333332,0.0
68.0,0.0,1186.6666666666667,241.58666666666667,0.0
67.0,0.0,1186.6666666666667,241.6,0.0
66.0,0.0,1186.6666666666667,241.61333333333334,0.0
65.0,0.0,1186.6666666666667,241.62666666666667,0.0
65.0,0.0,1186.6666666666667,241.64,0.0
66.0,0.0,1186.6666666666667,241.65333333333334,2.0
71.0,0.0,1186.6666666666667,241.66666666666666,0.0
81.0,0.0,1186.6666666666667,241.68,0.0
