TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,More,Intero,psi,More,4.589266199996928,30,3.173291600018274,11.5,53.0,64.5,True,True,True,17,18.790451094129704,18.717003333142117,1677835730.7916987,1677835736.675504,1677835741.7173214,1677835741.9536893,1677835745.64824,1677835747.8974319
psi,Less,Extero,psi,Less,2.6063642000081018,74,2.670472099998733,-4.5,62.5,58.0,True,True,True,18,1.2774831750923163,9.920185083415904,1677835748.6829739,1677835757.4557898,1677835760.6106107,1677835760.9167936,1677835764.1133635,1677835766.0920808
psi,Less,Extero,psi,Less,2.8134057999996003,39,3.947814399987692,-3.5,62.5,59.0,True,True,True,19,2.594042696868971,8.428114259376938,1677835766.9019713,1677835776.0015903,1677835779.3535855,1677835779.6607158,1677835784.1860666,1677835787.2288682
psi,More,Extero,psi,More,1.4020795999967959,87,1.8717688000178896,4.5,90.0,94.5,True,True,True,20,1.1817744367896241,6.947318391360248,1677835788.072953,1677835797.3904452,1677835799.3320663,1677835799.699614,1677835802.1813297,1677835803.9387317
psi,More,Intero,psi,Less,3.794857300003059,26,3.1004847000003792,8.5,61.0,69.5,False,True,True,21,20.229168136456785,18.311305826672623,1677835829.960616,1677835835.5168235,1677835839.853581,1677835839.8635507,1677835843.501467,1677835843.5862405
psi,More,Extero,psi,Less,2.654970100003993,61,2.1447489999991376,3.5,43.0,46.5,False,True,True,22,3.2454587582667487,9.89950693397398,1677835844.0915623,1677835849.790136,1677835852.9822578,1677835852.9962258,1677835855.697918,1677835855.7976518
psi,More,Intero,psi,More,2.4677250999957323,56,3.5331516999867745,9.5,55.5,65.0,True,True,True,23,17.16468673753265,19.276108791449786,1677835856.3092387,1677835861.8711493,1677835864.8787982,1677835864.9007387,1677835868.9437158,1677835869.1297307
psi,More,Intero,psi,More,1.9098637999850325,70,2.8431509000074584,6.5,69.5,76.0,True,True,True,24,14.224471613181434,20.032755668738652,1677835869.6369305,1677835875.2074997,1677835877.6583984,1677835877.6843297,1677835881.0571954,1677835881.233506
psi,More,Extero,psi,More,2.3205004000046756,64,1.995873300009407,8.5,53.0,61.5,True,True,True,25,2.3339845410278137,8.644129612111579,1677835881.7699254,1677835887.6173003,1677835890.4883142,1677835890.5182393,1677835893.0361948,1677835893.223693
psi,Less,Extero,psi,More,2.958599300007336,31,1.6192277999944054,-3.5,77.0,73.5,False,True,True,26,-0.20216799784076012,13.163648014767725,1677835893.7346137,1677835899.650029,1677835903.1499085,1677835903.181827,1677835905.3158092,1677835905.468437
psi,Less,Extero,psi,Less,1.7324577999825124,81,1.9513170999998692,-9.5,72.0,62.5,True,True,True,27,0.7482406941734565,12.153363644538384,1677835906.0058367,1677835911.9585087,1677835914.229809,1677835914.2736895,1677835916.7456594,1677835916.9620838
psi,Less,Extero,psi,Less,1.6857334999949671,95,1.866669799986994,-8.5,64.5,56.0,True,True,True,28,1.4451895936727908,11.238157333300295,1677835917.5137756,1677835923.5513554,1677835925.7762454,1677835925.8281085,1677835928.2090948,1677835928.41355
psi,More,Extero,psi,More,1.926973599998746,88,3.454358599992702,10.5,76.5,87.0,True,True,True,29,0.8671571385680964,10.362998129877711,1677835928.955503,1677835935.0066123,1677835937.4731925,1677835937.5270517,1677835941.5047245,1677835941.9525266
psi,Less,Extero,psi,Less,2.215442400018219,53,1.9960259999788832,-7.5,72.5,65.0,True,True,True,30,1.38333746008321,9.511834583909321,1677835942.50277,1677835948.612472,1677835951.3693616,1677835951.430195,1677835954.2006173,1677835954.5207644
psi,More,Intero,psi,Less,3.039870200009318,49,2.2463666999829,4.5,56.0,60.5,False,True,True,31,15.518946037620905,19.766405950715054,1677835955.0618336,1677835960.6858127,1677835964.2650027,1677835964.3313363,1677835967.0972512,1677835967.4301972
psi,More,Intero,psi,Less,2.3957103000138886,61,1.9961747000052128,5.5,55.5,61.0,False,True,True,32,16.667717858002653,19.51261776111325,1677835967.9826527,1677835973.5950382,1677835976.5265658,1677835976.6013644,1677835979.1761932,1677835979.606055
psi,More,Extero,psi,More,1.481261100008851,90,1.7599196000082884,9.5,64.5,74.0,True,True,True,33,0.9497100185200166,8.723522423158757,1677835980.164608,1677835986.487061,1677835988.5073533,1677835988.5811548,1677835990.8566601,1677835991.2179067
psi,Less,Extero,psi,Less,3.016607400000794,22,1.8464876000070944,-6.5,97.5,91.0,True,True,True,34,1.338974141131777,7.993899829994031,1677835991.7671173,1677835998.6013353,1677836002.1693597,1677836002.2700887,1677836004.668972,1677836005.0519478
psi,More,Extero,psi,More,2.007421799993608,51,3.0313679999962915,8.5,71.0,79.5,True,True,True,35,1.005995338062753,7.335239473902327,1677836005.6261203,1677836012.4092917,1677836014.965714,1677836015.0435042,1677836018.5982475,1677836019.2172713
psi,Less,Extero,psi,Less,1.707027600001311,90,1.5389940000022762,-5.5,56.5,51.0,True,True,True,36,1.3138689145960816,6.747529027405385,1677836019.801708,1677836026.299745,1677836028.5451484,1677836028.6379004,1677836030.6939147,1677836031.0659146
psi,More,Extero,psi,More,3.02615390002029,27,1.9280161000206135,7.5,52.0,59.5,True,True,True,37,1.0456002408880052,6.224388257454688,1677836031.6295426,1677836038.2089646,1677836041.7742476,1677836041.9009078,1677836044.3562279,1677836044.853907
psi,Less,Extero,psi,Less,2.372061800007941,61,1.7277458000171464,-3.5,67.5,64.0,True,True,True,38,1.3600166506765428,5.761231663478975,1677836045.4411361,1677836052.177125,1677836055.0868845,1677836055.2065876,1677836057.4532485,1677836057.929007
psi,More,Intero,psi,Less,2.9695012000156567,65,1.7783341000031214,5.5,52.5,58.0,False,True,True,39,17.655406066027123,19.266284847726112,1677836058.4965384,1677836064.1425624,1677836067.6652374,1677836067.7714446,1677836070.0649464,1677836070.5995228
psi,More,Intero,psi,More,1.731138800008921,87,1.952171399985673,29.5,57.0,86.5,True,True,True,40,16.775582561773245,19.017882584070897,1677836071.2038877,1677836076.8997192,1677836079.1795962,1677836079.2912977,1677836081.7781258,1677836082.4668272
psi,More,Extero,psi,More,2.587241000001086,57,1.935800199978985,6.5,45.0,51.5,True,True,True,41,1.1279686714070531,5.349506530347289,1677836104.267193,1677836109.9094186,1677836113.0353174,1677836113.0442867,1677836115.501149,1677836115.5559883
psi,More,Intero,psi,More,2.421148199995514,26,4.509385800018208,4.5,58.5,63.0,True,True,True,42,14.523754191409475,19.780911657835517,1677836116.0541928,1677836121.62413,1677836124.5992894,1677836124.6142504,1677836130.163094,1677836130.3466008
psi,More,Intero,psi,Less,3.5603831999760587,16,3.776837200013688,2.5,56.0,58.5,False,True,True,43,15.361768898742366,19.544137249271753,1677836130.8601675,1677836136.4268143,1677836140.526899,1677836140.5568187,1677836144.8595917,1677836145.0530758
